Date,Block,Primary Type,Location Description,Arrest,Year
1/10/2018 7:20,100XX S LAFAYETTE AVE,BATTERY,STREET,True,2018
1/9/2018 20:15,020XX N OAKLEY AVE,DECEPTIVE PRACTICE,BANK,False,2018
1/11/2018 13:00,0000X W MONROE ST,THEFT,RESTAURANT,False,2018
1/11/2018 9:52,018XX W HENDERSON ST,BATTERY,RESIDENCE,True,2018
1/11/2018 13:03,0000X E JACKSON BLVD,THEFT,RESTAURANT,False,2018
1/11/2018 17:15,005XX N MILWAUKEE AVE,DECEPTIVE PRACTICE,STREET,False,2018
1/11/2018 8:00,048XX S CALUMET AVE,CRIMINAL DAMAGE,APARTMENT,False,2018
1/11/2018 14:30,098XX S STATE ST,CRIMINAL DAMAGE,CTA TRAIN,False,2018
1/8/2018 19:00,049XX N MILWAUKEE AVE,THEFT,CTA PLATFORM,False,2018
1/12/2018 6:15,002XX S WACKER DR,PUBLIC PEACE VIOLATION,COMMERCIAL / BUSINESS OFFICE,False,2018
1/12/2018 13:30,101XX S ABERDEEN ST,BATTERY,RESIDENCE,False,2018
1/12/2018 18:47,0000X N STATE ST,BATTERY,DEPARTMENT STORE,False,2018
1/12/2018 12:47,006XX W ENGLEWOOD AVE,THEFT,APARTMENT,False,2018
1/12/2018 21:45,061XX S MARSHFIELD AVE,BATTERY,APARTMENT,False,2018
1/12/2018 8:30,030XX S WENTWORTH AVE,BURGLARY,APARTMENT,False,2018
1/12/2018 0:50,103XX S HALSTED ST,CRIMINAL DAMAGE,RESTAURANT,False,2018
1/12/2018 17:30,020XX E 73RD ST,ROBBERY,SIDEWALK,False,2018
1/13/2018 1:00,074XX S HARVARD AVE,MOTOR VEHICLE THEFT,STREET,False,2018
1/13/2018 17:35,002XX E 103RD ST,ROBBERY,OTHER,False,2018
1/11/2018 12:00,026XX S CHRISTIANA AVE,ROBBERY,ALLEY,False,2018
1/11/2018 5:00,021XX N HAMLIN AVE,BATTERY,RESIDENCE,False,2018
1/14/2018 5:00,033XX W WAVELAND AVE,OTHER OFFENSE,APARTMENT,False,2018
1/14/2018 5:27,062XX W BELMONT AVE,ROBBERY,RESTAURANT,False,2018
1/14/2018 13:05,014XX W 51ST ST,BATTERY,OTHER,True,2018
1/14/2018 14:38,051XX W CONCORD PL,BATTERY,RESIDENCE,True,2018
1/14/2018 16:00,008XX N MICHIGAN AVE,DECEPTIVE PRACTICE,OTHER,False,2018
1/14/2018 19:21,002XX S SACRAMENTO BLVD,BATTERY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,False,2018
1/14/2018 20:59,014XX N AUSTIN BLVD,ROBBERY,SIDEWALK,False,2018
1/14/2018 18:13,123XX S UNION AVE,BATTERY,RESIDENCE,False,2018
1/14/2018 21:27,004XX N HAMLIN AVE,WEAPONS VIOLATION,VEHICLE NON-COMMERCIAL,False,2018
1/14/2018 2:15,011XX E 82ND ST,BATTERY,RESIDENCE,False,2018
1/15/2018 9:35,006XX N ST LOUIS AVE,NARCOTICS,SIDEWALK,True,2018
1/15/2018 9:00,012XX S SPAULDING AVE,CRIM SEXUAL ASSAULT,APARTMENT,False,2018
1/15/2018 12:36,005XX W ROOSEVELT RD,THEFT,SMALL RETAIL STORE,False,2018
1/15/2018 14:30,007XX E 77TH ST,BATTERY,CHURCH/SYNAGOGUE/PLACE OF WORSHIP,False,2018
1/15/2018 14:55,011XX W GRANVILLE AVE,THEFT,RESTAURANT,True,2018
1/15/2018 13:40,065XX S DR MARTIN LUTHER KING JR DR,CRIMINAL DAMAGE,HOTEL/MOTEL,True,2018
1/15/2018 17:10,015XX S SPAULDING AVE,OTHER OFFENSE,STREET,True,2018
1/15/2018 14:50,018XX S SPAULDING AVE,BATTERY,RESIDENCE PORCH/HALLWAY,True,2018
1/15/2018 19:50,007XX S CENTRAL PARK AVE,BURGLARY,RESIDENCE-GARAGE,False,2018
1/15/2018 18:45,030XX S KILBOURN AVE,ROBBERY,STREET,False,2018
1/15/2018 21:40,043XX W IRVING PARK RD,CRIMINAL DAMAGE,AUTO / BOAT / RV DEALERSHIP,False,2018
1/16/2018 1:20,039XX W MAYPOLE AVE,ASSAULT,CTA GARAGE / OTHER PROPERTY,False,2018
1/15/2018 22:00,037XX W CORNELIA AVE,CRIMINAL DAMAGE,APARTMENT,False,2018
1/16/2018 7:50,0000X S LAVERGNE AVE,MOTOR VEHICLE THEFT,STREET,False,2018
1/16/2018 8:20,015XX N KOLIN AVE,BATTERY,STREET,False,2018
1/12/2018 23:00,007XX W 60TH PL,ROBBERY,RESIDENCE,False,2018
1/16/2018 12:00,089XX S SOUTH CHICAGO AVE,CRIMINAL TRESPASS,PARKING LOT/GARAGE(NON.RESID.),True,2018
1/16/2018 12:20,045XX W JACKSON BLVD,ASSAULT,APARTMENT,False,2018
